adhyaya.pada	sutras	missing_vyakhya	missing_udaharana
1.1	75	0	0
1.2	73	0	0
1.3	93	0	0
1.4	110	1	0
2.1	72	2	0
2.2	38	1	0
2.3	73	0	0
2.4	85	1	0
3.1	150	1	0
3.2	188	1	0
3.3	176	0	0
3.4	117	1	0
4.1	178	2	0
4.2	145	1	0
4.3	168	0	0
4.4	144	0	0
5.1	136	0	0
5.2	140	0	0
5.3	119	0	0
5.4	160	0	0
6.1	223	1	0
6.2	199	0	0
6.3	139	0	0
6.4	175	0	0
7.1	103	0	0
7.2	118	0	0
7.3	120	1	0
7.4	97	0	0
8.1	74	0	0
8.2	108	0	0
8.3	119	1	0
8.4	68	0	0
9.1	14	14	14

padas=33 sutras=3997 missing_vyakhya=28 missing_udaharana=14
