kanda.sukta	riks
1.1	4
1.2	4
1.3	9
1.4	4
1.5	4
1.6	4
1.7	7
1.8	4
1.9	4
1.10	4
1.11	6
1.12	4
1.13	4
1.14	4
1.15	4
1.16	4
1.17	4
1.18	4
1.19	4
1.20	4
1.21	4
1.22	4
1.23	4
1.24	4
1.25	4
1.26	4
1.27	4
1.28	4
1.29	6
1.30	4
1.31	4
1.32	4
1.33	4
1.34	5
1.35	4
2.1	5
2.2	5
2.3	6
2.4	6
2.5	7
2.6	5
2.7	5
2.8	5
2.9	5
2.10	8
2.11	5
2.12	8
2.13	5
2.14	6
2.15	6
2.16	5
2.17	6
2.18	5
2.19	5
2.20	5
2.21	5
2.22	5
2.23	5
2.24	8
2.25	5
2.26	5
2.27	7
2.28	5
2.29	7
2.30	5
2.31	5
2.32	6
2.33	7
2.34	5
2.35	5
2.36	6
3.1	6
3.2	6
3.3	6
3.4	7
3.5	8
3.6	8
3.7	7
3.8	6
3.9	6
3.10	13
3.11	8
3.12	9
3.13	7
3.14	6
3.15	8
3.16	7
3.17	9
3.18	6
3.19	8
3.20	10
3.21	10
3.22	6
3.23	6
3.24	7
3.25	6
3.26	6
3.27	6
3.28	6
3.29	8
3.30	7
3.31	11
4.1	7
4.2	8
4.3	7
4.4	8
4.5	7
4.6	8
4.7	7
4.8	7
4.9	10
4.10	7
4.11	12
4.12	7
4.13	7
4.14	9
4.15	16
4.16	9
4.17	8
4.18	8
4.19	8
4.20	9
4.21	7
4.22	7
4.23	7
4.24	7
4.25	7
4.26	7
4.27	7
4.28	7
4.29	7
4.30	8
4.31	7
4.32	7
4.33	8
4.34	8
4.35	7
4.36	10
4.37	12
4.38	7
4.39	10
4.40	8
5.1	9
5.2	9
5.3	11
5.4	10
5.5	9
5.6	14
5.7	10
5.8	9
5.9	8
5.10	8
5.11	11
5.12	11
5.13	11
5.14	13
5.15	11
5.16	11
5.17	18
5.18	15
5.19	15
5.20	12
5.21	12
5.22	14
5.23	13
5.24	17
5.25	13
5.26	12
5.27	12
5.28	14
5.29	15
5.30	17
5.31	12
6.1	3
6.2	3
6.3	3
6.4	3
6.5	3
6.6	6
6.7	3
6.8	3
6.9	6
6.10	3
6.11	3
6.12	3
6.13	3
6.14	3
6.15	3
6.16	4
6.17	4
6.18	3
6.19	3
6.20	3
6.21	3
6.22	3
6.23	3
6.24	3
6.25	3
6.26	3
6.27	3
6.28	3
6.29	3
6.30	3
6.31	3
6.32	3
6.33	3
6.34	5
6.35	3
6.36	3
6.37	3
6.38	4
6.39	3
6.40	3
6.41	3
6.42	3
6.43	3
6.44	3
6.45	3
6.46	3
6.47	3
6.48	3
6.49	3
6.50	3
6.51	3
6.52	3
6.53	3
6.54	3
6.55	3
6.56	2
6.57	3
6.58	3
6.59	3
6.61	3
6.62	3
6.63	4
6.64	3
6.65	3
6.66	3
6.67	3
6.68	3
6.69	3
6.70	3
6.71	3
6.72	3
6.73	3
6.74	3
6.75	3
6.76	4
6.77	3
6.78	3
6.79	3
6.80	3
6.81	3
6.82	3
6.83	4
6.84	4
6.85	3
6.86	3
6.87	3
6.88	3
6.89	3
6.91	3
6.92	3
6.93	3
6.94	3
6.95	3
6.96	3
6.97	3
6.98	3
6.99	3
6.100	3
6.101	3
6.102	3
6.103	3
6.104	3
6.105	3
6.106	3
6.107	4
6.108	5
6.109	3
6.110	3
6.111	4
6.112	3
6.113	3
6.114	3
6.115	3
6.116	3
6.117	3
6.118	3
6.119	3
6.120	3
6.121	4
6.122	5
6.123	5
6.124	3
6.125	3
6.126	3
6.127	3
6.128	4
6.129	3
6.130	4
6.131	3
6.132	5
6.133	5
6.134	3
6.135	3
6.136	3
6.137	3
6.138	5
6.139	5
6.140	3
6.141	3
6.142	3
7.1	2
7.2	1
7.3	1
7.4	1
7.5	5
7.6	4
7.7	1
7.8	1
7.9	4
7.10	1
7.11	1
7.12	4
7.13	2
7.14	4
7.15	1
7.16	1
7.17	4
7.18	2
7.19	1
7.20	6
7.21	1
7.22	2
7.23	1
7.24	1
7.25	2
7.26	8
7.27	1
7.28	1
7.29	2
7.30	1
7.31	1
7.32	1
7.33	1
7.34	1
7.35	3
7.36	1
7.37	1
7.38	5
7.39	1
7.40	2
7.41	2
7.42	2
7.43	1
7.44	1
7.45	2
7.46	3
7.47	2
7.48	2
7.49	2
7.50	9
7.51	1
7.52	2
7.53	7
7.54	2
7.55	1
7.56	8
7.57	2
7.58	2
7.59	1
7.60	7
7.61	2
7.62	1
7.63	1
7.64	2
7.65	3
7.66	1
7.67	1
7.68	3
7.69	1
7.70	5
7.71	1
7.72	3
7.73	11
7.74	4
7.75	2
7.76	6
7.77	3
7.78	2
7.79	4
7.80	4
7.81	6
7.82	6
7.83	4
7.84	3
7.85	1
7.86	1
7.87	1
7.88	1
7.89	4
7.90	3
7.91	1
7.92	1
7.93	1
7.94	1
7.95	3
7.96	1
7.97	8
7.98	1
7.99	1
7.100	1
7.101	1
7.102	1
7.103	1
