kanda.unit	padas
1.1.1	14
1.1.2	23
1.1.3	14
1.1.4	25
1.1.5	10
1.1.6	16
1.1.7	16
1.1.8	10
1.1.9	10
1.1.10	19
1.1.11	5
1.1.12	11
1.1.13	22
1.1.14	14
1.1.15	1
1.1.16	8
1.1.17	1
1.1.18	1
1.1.19	1
1.1.20	1
1.1.21	1
1.1.22	13
1.1.23	26
1.1.24	32
1.1.25	30
1.1.26	15
1.1.27	27
1.1.28	22
1.1.29	28
1.1.30	4
1.1.31	25
1.1.32	30
1.1.33	38
1.1.34	19
1.1.35	15
1.1.36	15
1.1.37	14
1.1.38	17
1.1.39	34
1.2.1	7
1.2.2	28
1.2.3	5
1.2.4	28
1.2.5	27
1.2.6	15
1.2.7	14
1.2.8	19
1.2.9	50
1.2.10	12
1.2.11	17
1.2.12	3
1.2.13	8
1.2.14	21
1.2.15	31
1.2.16	19
1.2.17	9
1.2.18	38
1.2.19	46
1.2.20	23
1.2.21	52
1.2.22	20
1.2.23	5
1.2.24	49
1.3.1	16
1.3.2	17
1.3.3	18
1.3.4	9
1.3.5	14
1.3.6	11
1.3.7	13
1.3.8	14
1.3.9	24
1.3.10	22
1.3.11	43
1.3.12	42
1.3.13	38
1.3.14	29
1.3.15	18
1.3.16	22
1.3.17	6
1.3.18	40
1.3.19	30
1.3.20	22
1.3.21	20
1.3.22	8
1.3.23	6
1.4.1	7
1.4.2	8
1.4.3	9
1.4.4	8
1.4.5	8
1.4.6	21
1.4.7	19
1.4.8	57
1.4.9	19
1.4.10	50
1.4.11	3
1.4.12	10
1.4.13	6
1.4.14	14
1.4.15	21
1.4.16	6
1.4.17	11
1.4.18	9
1.4.19	9
1.4.20	19
1.4.21	7
1.4.22	15
1.4.23	20
1.4.24	52
1.5.1	16
1.5.2	26
1.5.3	38
1.5.4	50
1.5.5	58
1.5.6	8
1.5.7	19
1.5.8	28
1.5.9	22
1.5.10	37
1.5.11	11
1.5.12	9
1.5.13	10
1.5.14	13
1.5.15	11
1.5.16	1
1.5.17	1
1.5.18	1
1.5.19	1
1.5.20	8
1.5.21	9
1.5.22	15
1.5.23	13
1.5.24	16
1.5.25	16
2.1.1	32
2.1.2	49
2.1.3	26
2.1.4	29
2.1.5	4
2.1.6	11
2.1.7	28
2.1.8	6
2.1.9	11
2.1.10	8
2.1.11	13
2.1.12	11
2.1.13	7
2.1.14	5
2.1.15	7
2.1.16	9
2.1.17	28
2.1.18	18
2.1.19	20
2.1.20	23
2.1.21	19
2.1.22	17
2.1.23	24
2.1.24	19
2.1.25	30
2.1.26	27
2.2.1	26
2.2.2	10
2.2.3	26
2.2.4	20
2.2.5	19
2.2.6	37
2.2.7	25
2.2.8	13
2.2.9	14
2.2.10	27
2.2.11	21
2.2.12	12
2.2.13	39
2.2.14	25
2.2.15	15
2.2.16	15
2.2.17	16
2.2.18	10
2.2.19	25
2.2.20	29
2.2.21	13
2.2.22	26
2.2.23	10
2.2.24	8
2.3.1	11
2.3.2	19
2.3.3	21
2.3.4	6
2.3.5	10
2.3.6	11
2.3.7	20
2.3.8	14
2.3.9	29
2.3.10	33
2.3.11	32
2.3.12	16
2.3.13	16
2.3.14	18
2.3.15	16
2.3.16	22
2.3.17	22
2.3.18	20
2.3.19	21
2.3.20	31
2.3.21	8
2.3.22	37
2.3.23	29
2.4.1	11
2.4.2	26
2.4.3	13
2.4.4	18
2.4.5	16
2.4.6	17
2.4.7	20
2.4.8	10
2.4.9	25
2.4.10	29
2.4.11	24
2.4.12	11
2.4.13	5
2.4.14	5
2.4.15	25
2.4.16	29
2.4.17	22
2.4.18	28
2.4.19	7
2.5.1	22
2.5.2	7
2.5.3	31
2.5.4	35
2.5.5	28
2.5.6	14
2.5.7	28
2.5.8	34
2.5.9	25
2.5.10	23
2.5.11	14
2.5.12	12
2.5.13	18
2.5.14	25
2.5.15	25
2.6.1	34
2.6.2	48
2.6.3	31
2.6.4	16
2.6.5	22
2.6.6	48
2.6.7	45
2.6.8	85
2.6.9	42
2.6.10	24
2.6.11	22
2.6.12	60
2.6.13	37
2.6.14	48
2.6.15	26
2.6.16	46

kandas=2 units=258 padas=5240
