arcika.prapāṭhaka.segment	kind	mantras	header
01.01.01	dasati	114	yes
01.02.03	dasati	117	yes
01.03.05	dasati	121	yes
01.04.07	dasati	301	yes
02.01.01	ardha	62	yes
02.01.02	ardha	62	yes
02.02.01	ardha	55	yes
02.02.02	ardha	56	yes
02.03.01	ardha	69	yes
02.03.02	ardha	76	yes
02.04.01	ardha	85	yes
02.04.02	ardha	59	yes
02.05.01	ardha	78	yes
02.05.02	ardha	94	yes
02.06.01	ardha	32	yes
02.06.02	ardha	56	yes
02.06.03	ardha	54	yes
02.07.01	ardha	46	yes
02.07.02	ardha	38	yes
02.07.03	ardha	44	yes
02.08.01	ardha	40	yes
02.08.02	ardha	53	yes
02.08.03	ardha	54	yes
02.09.01	ardha	50	yes
02.09.02	ardha	33	yes
02.09.03	ardha	27	yes

segments=26 mantras=1876
