kanda.prasna	anuvakas	mantras	header
1.1	14	28	yes
1.2	14	34	no
1.3	14	31	yes
1.4	46	54	no
1.5	11	51	no
1.6	12	51	no
1.7	13	51	no
1.8	22	42	no
2.1	11	65	yes
2.2	12	71	yes
2.3	14	56	yes
2.4	14	48	yes
2.5	12	74	yes
2.6	12	70	yes
3.1	11	42	yes
3.2	11	46	yes
3.3	11	36	yes
3.4	11	46	yes
3.5	11	36	yes
4.1	11	46	yes
4.2	11	48	yes
4.3	13	36	yes
4.4	12	37	yes
4.5	11	27	yes
4.6	9	46	yes
4.7	15	39	yes
5.1	11	59	yes
5.2	12	64	yes
5.3	12	48	yes
5.4	12	58	yes
5.5	24	62	yes
5.6	23	54	yes
5.7	26	58	yes
6.1	11	76	yes
6.2	11	59	yes
6.3	11	62	yes
6.4	11	51	yes
6.5	11	42	yes
6.6	11	43	yes
7.1	20	52	yes
7.2	20	50	yes
7.3	20	42	yes
7.4	22	53	yes
7.5	25	54	yes

kandas=7 prasnas=44 anuvakas=651 mantras=2198
